Date,Bank,Currency,Rate,PrevRate,Action
2022.01.01,BOJ,JPY,-0.10,-0.10,HOLD
2022.03.02,BOC,CAD,0.50,0.25,HIKE
2022.03.16,FED,USD,0.50,0.25,HIKE
2022.03.17,BOE,GBP,0.75,0.50,HIKE
2022.04.13,BOC,CAD,1.00,0.50,HIKE
2022.04.13,RBNZ,NZD,1.50,1.00,HIKE
2022.05.03,RBA,AUD,0.35,0.10,HIKE
2022.05.04,FED,USD,1.00,0.50,HIKE
2022.05.05,BOE,GBP,1.00,0.75,HIKE
2022.05.25,RBNZ,NZD,2.00,1.50,HIKE
2022.06.01,BOC,CAD,1.50,1.00,HIKE
2022.06.07,RBA,AUD,0.85,0.35,HIKE
2022.06.15,FED,USD,1.75,1.00,HIKE
2022.06.16,BOE,GBP,1.25,1.00,HIKE
2022.06.16,SNB,CHF,-0.25,-0.75,HIKE
2022.07.05,RBA,AUD,1.35,0.85,HIKE
2022.07.13,BOC,CAD,2.50,1.50,HIKE
2022.07.13,RBNZ,NZD,2.50,2.00,HIKE
2022.07.27,ECB,EUR,0.50,0.00,HIKE
2022.07.27,FED,USD,2.50,1.75,HIKE
2022.08.02,RBA,AUD,1.85,1.35,HIKE
2022.08.04,BOE,GBP,1.75,1.25,HIKE
2022.08.17,RBNZ,NZD,3.00,2.50,HIKE
2022.09.06,RBA,AUD,2.35,1.85,HIKE
2022.09.07,BOC,CAD,3.25,2.50,HIKE
2022.09.14,ECB,EUR,1.25,0.50,HIKE
2022.09.21,FED,USD,3.25,2.50,HIKE
2022.09.22,BOE,GBP,2.25,1.75,HIKE
2022.09.22,SNB,CHF,0.50,-0.25,HIKE
2022.10.04,RBA,AUD,2.60,2.35,HIKE
2022.10.05,RBNZ,NZD,3.50,3.00,HIKE
2022.10.26,BOC,CAD,3.75,3.25,HIKE
2022.10.27,ECB,EUR,2.00,1.25,HIKE
2022.11.01,RBA,AUD,2.85,2.60,HIKE
2022.11.02,FED,USD,4.00,3.25,HIKE
2022.11.03,BOE,GBP,3.00,2.25,HIKE
2022.11.23,RBNZ,NZD,4.25,3.50,HIKE
2022.12.06,RBA,AUD,3.10,2.85,HIKE
2022.12.07,BOC,CAD,4.25,3.75,HIKE
2022.12.14,FED,USD,4.50,4.00,HIKE
2022.12.15,BOE,GBP,3.50,3.00,HIKE
